Date,Day of the Week,Amount,Description,Category ,Method of Payment
21/1/2023,Saturday,17.5,tacos,Food,Debit
21/1/2023,Saturday,1.25,toilet paper,Housing,Debit
21/1/2023,Saturday,2,samtran,Travel,Debit
22/1/2023,Sunday,3.35,coffee,Food,Debit
23/1/2023,Monday,2,samtran,Travel,Debit
25/1/2023,Wednesday,34.5,jacket,Cloths,Debit
26/1/2023,Thursday,8.65,bart,Travel,Cash
26/1/2023Thursday,,5.75,boba,Food,Debit
27/1/2023,Friday,2,samtran,Travel,Debit
27/1/2023,Friday,8.99,Burrito,Food,Debit
28/1/2023,Saturaday,32.75,jacket,Cloths,Debit
29/1/2023,Sunday,8.89,bart,Travel,Cash
29/1/2023,Sunday,75,Red envelope,Financial goal and saving,Cash
30/1/2023,Monday,9.99,t shirt,Cloths,Debit
31/1/2023,Tuesday,17,tacos,food,Debit
31/1/2023,Tuesday,2,samtran,Travel,Debit
